项目名称,问卷来源,提交时间,区域,省份,城市,服务中心名称,服务场景,服务评分,推荐意愿评分,开放反馈原话,是否愿意联系,问题是否解决,联系方式
A 项目：五一售后服务专项,问卷星,2026-05-01 10:32,华南,广东,深圳,深圳南山服务中心,到店服务,5,9,接待很快，维修进度解释清楚，交付时也提醒了后续保养注意事项。,否,是,
A 项目：五一售后服务专项,App内问卷,2026-05-02 15:18,华南,广东,广州,广州天河服务中心,移动服务,2,3,预约后等待时间太长，临时改时间没有提前通知。,是,否,已脱敏-002
A 项目：五一售后服务专项,腾讯问卷,2026-05-03 11:05,华南,广东,佛山,佛山南海服务中心,补能体验,3,7,充电排队时间比预期长，占位提醒不够清楚。,未询问,是,
A 项目：五一售后服务专项,问卷星,2026-05-06 16:40,华东,上海,上海闵行服务中心,到店服务,2,5,接待解释不清楚，我问了几次才知道维修项目包含什么。,是,否,已脱敏-004
B 项目：服务中心月中回访,腾讯问卷,2026-05-15 09:26,华东,浙江,杭州,杭州滨江服务中心,移动服务,4,9,移动服务上门很方便，师傅沟通专业，节省了去店里的时间。,否,是,
B 项目：服务中心月中回访,App内问卷,2026-05-16 14:12,华北,北京,北京亦庄服务中心,补能体验,3,7,超充排队时间比预期久，费用规则看得不是很明白。,未询问,是,
B 项目：服务中心月中回访,短信链接,2026-05-18 18:22,西南,重庆,重庆江北服务中心,到店服务,1,4,问题复发了，第二次到店还是没有彻底解决，体验比较失望。,是,否,已脱敏-007
B 项目：服务中心月中回访,腾讯问卷,2026-05-20 10:08,华东,江苏,南京,南京江宁服务中心,到店服务,5,10,接待人员态度很好，问题解释清楚，交车也很顺利。,否,是,
C 项目：端午车主活动反馈,企微链接,2026-05-28 13:30,西南,四川,成都,成都高新服务中心,活动/社群,5,9,车主活动组织得不错，工作人员解释权益很清楚，社群氛围也好。,否,是,
C 项目：端午车主活动反馈,问卷星,2026-05-29 17:45,华南,广东,中山,中山城区服务中心,活动/社群,2,5,活动报名成功后通知太晚，差点错过集合时间。,是,否,已脱敏-010
C 项目：端午车主活动反馈,App内问卷,2026-06-01 12:16,华北,山东,青岛,青岛崂山服务中心,活动/社群,4,8,车主课堂内容不错，希望下次增加移动服务专题。,未询问,是,
D 项目：周度售后体验监测,问卷星,2026-05-21 09:50,华南,广东,东莞,东莞松山湖服务中心,App/OTA,1,4,App 蓝牙钥匙经常连接不上，提交反馈后回复也慢。,是,否,已脱敏-012
D 项目：周度售后体验监测,App内问卷,2026-05-22 15:28,华北,天津,天津滨海服务中心,移动服务,5,9,移动服务准时上门，处理过程专业，不用请假去店里。,否,是,
D 项目：周度售后体验监测,腾讯问卷,2026-05-23 10:44,华东,江苏,苏州,苏州工业园服务中心,补能体验,4,8,充电站环境不错，费用说明如果再清楚一点会更好。,未询问,是,
D 项目：周度售后体验监测,App内问卷,2026-05-24 19:06,西南,四川,成都,成都金牛服务中心,移动服务,2,5,远程诊断说可以上门，后来又让我到店，前后说法不一致。,是,否,已脱敏-015
